### 直接加载测试（角色专属材质）
    合计: 可加载=82  加载失败=0

===== 张知远_可动
    F_body_feet | F_body_feet | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_hands | F_body_hands | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_legs_knee | F_body_legs_knee | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_legs_lower | F_body_legs_lower | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_legs_upper | F_body_legs_upper | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_shoulders | F_body_shoulders | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_torso | F_body_torso | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.003_mesh | F_head.003_mesh | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.003_mesh | F_head.003_mesh | skin_mat_base_F_face | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.003_mesh | F_head.003_mesh | brow_mat_eyelashes | shader=Universal Render Pipeline/Unlit | supported=True
    Head_F_head.003_mesh | F_head.003_mesh | mat_base_eye.001 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.003_mesh | F_head.003_mesh | mat_eye_highlight | shader=Universal Render Pipeline/Lit | supported=True
    Head_F_head.003_mesh | F_head.003_mesh | mat_base_mouth | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.003_mesh | F_head.003_mesh | brow_mat_eyebrows | shader=Universal Render Pipeline/Lit | supported=True
    Top_F_top_006_openshirt+T | F_top_006_openshirt+T | top_mat_top.006_openshirt | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Bot_F_bot_006_loosepants+belt | F_bot_006_loosepants+belt | bot_mat_bot.006_loosepants | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Shoes_shoes.004_sandals | shoes.004_sandals | shoes_mat_shoes.004_sandals | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
===== 陆宣雨_可动
    medium.02_low | medium.02_low | hair_mat_hair_medium.002 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    bangs.002 | bangs.002 | hair_mat_hair_bangs.002 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Glasses | F_glasses.001_square | mat_glasses.001_square | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Glasses | F_glasses.001_square | mat_glasses.001_square | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_arms_lower | F_body_arms_lower | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_arms_upper | F_body_arms_upper | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_feet | F_body_feet | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_hands | F_body_hands | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_legs_knee | F_body_legs_knee | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_legs_lower | F_body_legs_lower | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_legs_upper | F_body_legs_upper | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_shoulders | F_body_shoulders | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    F_body_torso | F_body_torso | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.003_mesh | F_head.003_mesh | skin_mat_base_F_body | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.003_mesh | F_head.003_mesh | skin_mat_base_F_face | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.003_mesh | F_head.003_mesh | brow_mat_eyelashes | shader=Universal Render Pipeline/Unlit | supported=True
    Head_F_head.003_mesh | F_head.003_mesh | mat_base_eye.001 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.003_mesh | F_head.003_mesh | mat_eye_highlight | shader=Universal Render Pipeline/Lit | supported=True
    Head_F_head.003_mesh | F_head.003_mesh | mat_base_mouth | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Head_F_head.003_mesh | F_head.003_mesh | brow_mat_eyebrows | shader=Universal Render Pipeline/Lit | supported=True
    Outfit_F_outfit.003 | F_outfit.003 | top_mat_outfit.003 | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
    Shoes_shoes.007_chelsea | shoes.007_chelsea | shoes_mat_shoes.007_chelseas | shader=Shader Graphs/Rukha93/ShaderGraph_CharacterLit | supported=True
